Fecha;Vivienda;Comerciales;Comercio exterior;Consumo
01-ene-2018;3,52;6,38;2,87;21,67
01-feb-2018;3,54;6,94;2,93;22,45
01-mar-2018;3,50;6,19;3,02;20,91
01-abr-2018;3,45;6,27;3,15;21,20
01-may-2018;3,41;6,14;3,22;20,98
01-jun-2018;3,34;6,05;3,38;21,29
01-jul-2018;3,33;6,23;3,62;20,98
01-ago-2018;3,23;6,32;3,45;20,46
01-sept-2018;3,22;5,98;3,57;21,32
01-oct-2018;3,17;6,01;3,72;20,13
01-nov-2018;3,23;6,05;4,00;20,71
01-dic-2018;3,28;6,18;3,92;20,58
01-ene-2019;3,24;6,28;3,91;21,55
01-feb-2019;3,23;6,78;4,02;22,14
01-mar-2019;3,18;6,80;3,75;20,95
01-abr-2019;3,04;6,33;3,74;21,04
01-may-2019;2,90;5,65;3,77;20,59
01-jun-2019;2,78;5,41;3,47;20,74
01-jul-2019;2,55;5,60;3,67;20,49
01-ago-2019;2,38;5,68;3,54;19,77
01-sept-2019;2,17;4,99;3,48;19,96
01-oct-2019;1,99;4,90;3,18;19,38
01-nov-2019;1,99;4,96;3,40;19,63
01-dic-2019;2,18;5,17;3,05;19,21
01-ene-2020;2,40;6,22;3,20;20,16
01-feb-2020;2,50;6,24;2,96;20,67
01-mar-2020;2,60;5,53;2,77;20,82
01-abr-2020;2,93;5,56;3,83;18,91
01-may-2020;2,86;4,81;2,90;20,86
01-jun-2020;2,79;4,58;2,74;19,89
01-jul-2020;2,64;4,82;2,65;20,07
01-ago-2020;2,58;4,50;2,47;19,63
01-sept-2020;2,35;4,44;1,90;18,89
01-oct-2020;2,47;5,11;2,21;19,37
01-nov-2020;2,42;5,53;1,98;19,02
01-dic-2020;2,39;4,98;2,44;19,41
01-ene-2021;2,34;5,54;1,86;19,32
01-feb-2021;2,34;5,80;1,69;20,04
01-mar-2021;2,31;4,88;1,85;18,25
01-abr-2021;2,36;4,84;1,57;18,87
01-may-2021;2,40;4,80;1,72;18,07
01-jun-2021;2,51;5,19;1,49;18,05
01-jul-2021;2,81;4,67;1,51;18,28
01-ago-2021;3,10;5,58;1,65;18,02
01-sept-2021;3,29;5,98;1,64;19,34
01-oct-2021;3,56;7,08;1,60;19,79
01-nov-2021;3,91;8,58;1,55;20,91
01-dic-2021;4,00;8,71;2,07;22,02
01-ene-2022;4,20;9,26;2,04;22,96
01-feb-2022;4,39;10,82;2,18;24,33
01-mar-2022;4,45;11,19;2,46;23,65
01-abr-2022;4,41;11,92;2,36;24,82
01-may-2022;4,35;12,28;3,01;25,11
01-jun-2022;4,32;12,99;3,47;26,26
01-jul-2022;4,31;13,75;3,94;27,06
01-ago-2022;4,23;14,10;4,69;26,83
01-sept-2022;4,32;14,54;4,57;27,93
01-oct-2022;4,53;15,05;5,42;27,46
01-nov-2022;4,64;14,88;6,15;27,69
01-dic-2022;4,44;15,28;6,31;28,13
01-ene-2023;4,32;15,73;6,50;28,69
01-feb-2023;4,29;16,61;6,43;29,37
01-mar-2023;4,31;16,28;6,66;27,66
01-abr-2023;4,29;16,37;6,82;28,84
